ID,SKU,NOMBRE,DESCRIPCION,UNIDAD,CATEGORIA
6149,"ACER-0020","Redondo liso 5/8 pulgada 6m","Barra","TRAMO","Acero estructural"
6145,"ACER-0016","Solera 1.5x3/16 pulgada 6m","Plana","TRAMO","Acero estructural"
6144,"ACER-0015","Solera 1x1/8 pulgada 6m","Plana","TRAMO","Acero estructural"
6146,"ACER-0017","Solera 2x1/4 pulgada 6m","Plana","TRAMO","Acero estructural"
6136,"ACER-0007","Tubo redondo 2 pulgadas cal 14 6m","Cedula 30","TRAMO","Acero estructural"
6137,"ACER-0008","Tubo redondo 3 pulgadas cal 14 6m","Cedula 30","TRAMO","Acero estructural"
6138,"ACER-0009","Tubo redondo 4 pulgadas cal 14 6m","Cedula 30","TRAMO","Acero estructural"
6152,"ACER-0023","Viga IPR 4 pulgadas 6m","Estructural","TRAMO","Acero estructural"
6153,"ACER-0024","Viga IPR 6 pulgadas 6m","Estructural","TRAMO","Acero estructural"
6154,"ACER-0025","Viga IPR 8 pulgadas 6m","Estructural","TRAMO","Acero estructural"
4717,"ACER-2130","Acero Estructural (columnas","Acero Estructural (columnas","PIEZA","Acero y productos metalicos"
2908,"ACER-0321","Alambre de puas rollo 350m","Cercas seguridad","ROLLO","Acero y productos metalicos"
2904,"ACER-0317","Alambre galvanizado cal 10 kg","Galvanizado cal 10","KILOGRAMO","Acero y productos metalicos"
2905,"ACER-0318","Alambre galvanizado cal 12 kg","Galvanizado cal 12","KILOGRAMO","Acero y productos metalicos"
2906,"ACER-0319","Alambre galvanizado cal 14 kg","Galvanizado cal 14","KILOGRAMO","Acero y productos metalicos"
2907,"ACER-0320","Alambre galvanizado cal 16 kg","Galvanizado cal 16","KILOGRAMO","Acero y productos metalicos"
2902,"ACER-0315","Alambre recocido cal 18 kg","Amarres armados","KILOGRAMO","Acero y productos metalicos"
2903,"ACER-0316","Alambre recocido cal 18 rollo 20kg","Rollo grande","ROLLO_20KG","Acero y productos metalicos"
2962,"ACER-0375","Ancla expansion 1/2x4","Cuña 1/2in","PIEZA","Acero y productos metalicos"
2965,"ACER-0378","Ancla expansion 1x8","Cuña 1in","PIEZA","Acero y productos metalicos"
2964,"ACER-0377","Ancla expansion 3/4x6","Cuña 3/4in","PIEZA","Acero y productos metalicos"
2961,"ACER-0374","Ancla expansion 3/8x3","Cuña 3/8in","PIEZA","Acero y productos metalicos"
2963,"ACER-0376","Ancla expansion 5/8x5","Cuña 5/8in","PIEZA","Acero y productos metalicos"
2945,"ACER-0358","Angulo 1 1/2x3/16","Angulo 1 1/2in","PIEZA","Acero y productos metalicos"
2944,"ACER-0357","Angulo 1x1/8","Angulo 1in","PIEZA","Acero y productos metalicos"
2947,"ACER-0360","Angulo 2 1/2x1/4","Angulo 2 1/2in","PIEZA","Acero y productos metalicos"
2946,"ACER-0359","Angulo 2x3/16","Angulo 2in","PIEZA","Acero y productos metalicos"
2948,"ACER-0361","Angulo 3x1/4","Angulo 3in","PIEZA","Acero y productos metalicos"
2949,"ACER-0362","Angulo 4x3/8","Angulo 4in","PIEZA","Acero y productos metalicos"
4713,"ACER-2126","ANGULO LI 2 1/2"" X 1/2""","ANGULO LI 2 1/2"" X 1/2""","PIEZA","Acero y productos metalicos"
4714,"ACER-2127","ANGULO LI 2 1/2"" X 3/8""","ANGULO LI 2 1/2"" X 3/8""","PIEZA","Acero y productos metalicos"
4716,"ACER-2129","ANGULO LI 2 1/2"" X 5/16""","ANGULO LI 2 1/2"" X 5/16""","PIEZA","Acero y productos metalicos"
4712,"ACER-2125","ANGULO LI 2 1/2"" X 5/8""","ANGULO LI 2 1/2"" X 5/8""","PIEZA","Acero y productos metalicos"
4715,"ACER-2128","ANGULO LI 2"" X 1/4""","ANGULO LI 2"" X 1/4""","PIEZA","Acero y productos metalicos"
4707,"ACER-2120","ARANDELA ESTRUCTURAL 1 1/2""","ARANDELA ESTRUCTURAL 1 1/2""","PIEZA","Acero y productos metalicos"
4709,"ACER-2122","ARANDELA ESTRUCTURAL 3/4""","ARANDELA ESTRUCTURAL 3/4""","PIEZA","Acero y productos metalicos"
2919,"ACER-0332","Canal CPS 10 pulgadas","Canal estructural 10in","PIEZA","Acero y productos metalicos"
2920,"ACER-0333","Canal CPS 12 pulgadas","Canal estructural 12in","PIEZA","Acero y productos metalicos"
2916,"ACER-0329","Canal CPS 4 pulgadas","Canal estructural 4in","PIEZA","Acero y productos metalicos"
2917,"ACER-0330","Canal CPS 6 pulgadas","Canal estructural 6in","PIEZA","Acero y productos metalicos"
2918,"ACER-0331","Canal CPS 8 pulgadas","Canal estructural 8in","PIEZA","Acero y productos metalicos"
4723,"ACER-2136","Cimbra de dados y armado de muros y parrilla en fosa de elevador","Cimbra de dados y armado de muros y parrilla en fosa de elev...","PIEZA","Acero y productos metalicos"
4688,"ACER-2101","Construccion caja de valvulas","Construccion caja de valvulas","PIEZA","Acero y productos metalicos"
4719,"ACER-2132","Diafragmas","diafragmas","DIA","Acero y productos metalicos"
4685,"ACER-2098","H prefabricada de 1.50m de largo para tapa","H prefabricada de 1.50m de largo para tapa","PIEZA","Acero y productos metalicos"
4690,"ACER-2103","HSS 16"" X 16"" X 1/2""","HSS 16"" X 16"" X 1/2""","PIEZA","Acero y productos metalicos"
4693,"ACER-2106","HSS 16"" X 16"" X 3/8""","HSS 16"" X 16"" X 3/8""","PIEZA","Acero y productos metalicos"
4692,"ACER-2105","HSS 8"" X 8"" X 3/16""","HSS 8"" X 8"" X 3/16""","PIEZA","Acero y productos metalicos"
4700,"ACER-2113","IPR 10"" X 5 3/4"" X 30 LB","IPR 10"" X 5 3/4"" X 30 LB","PIEZA","Acero y productos metalicos"
4702,"ACER-2115","IPR 12"" X 10"" X 58 LB","IPR 12"" X 10"" X 58 LB","PIEZA","Acero y productos metalicos"
4701,"ACER-2114","IPR 12"" X 8"" X 50 LB","IPR 12"" X 8"" X 50 LB","PIEZA","Acero y productos metalicos"
4698,"ACER-2111","IPR 16"" X 10 1/4"" X 67 LB","IPR 16"" X 10 1/4"" X 67 LB","PIEZA","Acero y productos metalicos"
4695,"ACER-2108","IPR 16"" X 7"" X 36 LB","IPR 16"" X 7"" X 36 LB","PIEZA","Acero y productos metalicos"
4697,"ACER-2110","IPR 18"" X 11"" X 106 LB","IPR 18"" X 11"" X 106 LB","PIEZA","Acero y productos metalicos"
4696,"ACER-2109","IPR 18"" X 7 1/2"" X 55 LB","IPR 18"" X 7 1/2"" X 55 LB","PIEZA","Acero y productos metalicos"
4699,"ACER-2112","IPR 18"" X 7 1/2"" X 71 LB","IPR 18"" X 7 1/2"" X 71 LB","PIEZA","Acero y productos metalicos"
2898,"ACER-0311","Malla 6x6-10/10 panel","Malla calibre 10/10","PIEZA","Acero y productos metalicos"
2901,"ACER-0314","Malla 6x6-4/4 panel","Malla calibre 4/4","PIEZA","Acero y productos metalicos"
2900,"ACER-0313","Malla 6x6-6/6 panel","Malla calibre 6/6","PIEZA","Acero y productos metalicos"
2899,"ACER-0312","Malla 6x6-8/8 panel","Malla calibre 8/8","PIEZA","Acero y productos metalicos"
4686,"ACER-2099","Marco y contramarco para caja de valvulas","Marco y contramarco para caja de valvulas","PIEZA","Acero y productos metalicos"
4724,"ACER-2137","MATERIALES REQUERIDOS PARA COLAR VARILLAS DE AMARRE","MATERIALES REQUERIDOS PARA COLAR VARILLAS DE AMARRE","METRO_LINEAL","Acero y productos metalicos"
4689,"ACER-2102","OC 14"" X 1/2"" X 72.16 LB/FT","OC 14"" X 1/2"" X 72.16 LB/FT","PIEZA","Acero y productos metalicos"
4691,"ACER-2104","OC 20"" CED. 40 X 145.3 LB/FT","OC 20"" CED. 40 X 145.3 LB/FT","PIEZA","Acero y productos metalicos"
4385,"ACER-1798","Perfil especial -105","Perfil estructural","PIEZA","Acero y productos metalicos"
4375,"ACER-1788","Perfil especial -115","Perfil estructural","PIEZA","Acero y productos metalicos"
4365,"ACER-1778","Perfil especial -125","Perfil estructural","PIEZA","Acero y productos metalicos"
4355,"ACER-1768","Perfil especial -135","Perfil estructural","PIEZA","Acero y productos metalicos"
4345,"ACER-1758","Perfil especial -145","Perfil estructural","PIEZA","Acero y productos metalicos"
4475,"ACER-1888","Perfil especial -15","Perfil estructural","PIEZA","Acero y productos metalicos"
4335,"ACER-1748","Perfil especial -155","Perfil estructural","PIEZA","Acero y productos metalicos"
4325,"ACER-1738","Perfil especial -165","Perfil estructural","PIEZA","Acero y productos metalicos"
4315,"ACER-1728","Perfil especial -175","Perfil estructural","PIEZA","Acero y productos metalicos"
4305,"ACER-1718","Perfil especial -185","Perfil estructural","PIEZA","Acero y productos metalicos"
4295,"ACER-1708","Perfil especial -195","Perfil estructural","PIEZA","Acero y productos metalicos"
4285,"ACER-1698","Perfil especial -205","Perfil estructural","PIEZA","Acero y productos metalicos"
4275,"ACER-1688","Perfil especial -215","Perfil estructural","PIEZA","Acero y productos metalicos"
4265,"ACER-1678","Perfil especial -225","Perfil estructural","PIEZA","Acero y productos metalicos"
4255,"ACER-1668","Perfil especial -235","Perfil estructural","PIEZA","Acero y productos metalicos"
4245,"ACER-1658","Perfil especial -245","Perfil estructural","PIEZA","Acero y productos metalicos"
4465,"ACER-1878","Perfil especial -25","Perfil estructural","PIEZA","Acero y productos metalicos"
4235,"ACER-1648","Perfil especial -255","Perfil estructural","PIEZA","Acero y productos metalicos"
4225,"ACER-1638","Perfil especial -265","Perfil estructural","PIEZA","Acero y productos metalicos"
4215,"ACER-1628","Perfil especial -275","Perfil estructural","PIEZA","Acero y productos metalicos"
4205,"ACER-1618","Perfil especial -285","Perfil estructural","PIEZA","Acero y productos metalicos"
4195,"ACER-1608","Perfil especial -295","Perfil estructural","PIEZA","Acero y productos metalicos"
4185,"ACER-1598","Perfil especial -305","Perfil estructural","PIEZA","Acero y productos metalicos"
4175,"ACER-1588","Perfil especial -315","Perfil estructural","PIEZA","Acero y productos metalicos"
4165,"ACER-1578","Perfil especial -325","Perfil estructural","PIEZA","Acero y productos metalicos"
4155,"ACER-1568","Perfil especial -335","Perfil estructural","PIEZA","Acero y productos metalicos"
4145,"ACER-1558","Perfil especial -345","Perfil estructural","PIEZA","Acero y productos metalicos"
4455,"ACER-1868","Perfil especial -35","Perfil estructural","PIEZA","Acero y productos metalicos"
4135,"ACER-1548","Perfil especial -355","Perfil estructural","PIEZA","Acero y productos metalicos"
4125,"ACER-1538","Perfil especial -365","Perfil estructural","PIEZA","Acero y productos metalicos"
4115,"ACER-1528","Perfil especial -375","Perfil estructural","PIEZA","Acero y productos metalicos"
4105,"ACER-1518","Perfil especial -385","Perfil estructural","PIEZA","Acero y productos metalicos"
4095,"ACER-1508","Perfil especial -395","Perfil estructural","PIEZA","Acero y productos metalicos"
4085,"ACER-1498","Perfil especial -405","Perfil estructural","PIEZA","Acero y productos metalicos"
4075,"ACER-1488","Perfil especial -415","Perfil estructural","PIEZA","Acero y productos metalicos"
4065,"ACER-1478","Perfil especial -425","Perfil estructural","PIEZA","Acero y productos metalicos"
4055,"ACER-1468","Perfil especial -435","Perfil estructural","PIEZA","Acero y productos metalicos"
4045,"ACER-1458","Perfil especial -445","Perfil estructural","PIEZA","Acero y productos metalicos"
4445,"ACER-1858","Perfil especial -45","Perfil estructural","PIEZA","Acero y productos metalicos"
4035,"ACER-1448","Perfil especial -455","Perfil estructural","PIEZA","Acero y productos metalicos"
4025,"ACER-1438","Perfil especial -465","Perfil estructural","PIEZA","Acero y productos metalicos"
4015,"ACER-1428","Perfil especial -475","Perfil estructural","PIEZA","Acero y productos metalicos"
4005,"ACER-1418","Perfil especial -485","Perfil estructural","PIEZA","Acero y productos metalicos"
3995,"ACER-1408","Perfil especial -495","Perfil estructural","PIEZA","Acero y productos metalicos"
4485,"ACER-1898","Perfil especial -5","Perfil estructural","PIEZA","Acero y productos metalicos"
3985,"ACER-1398","Perfil especial -505","Perfil estructural","PIEZA","Acero y productos metalicos"
3975,"ACER-1388","Perfil especial -515","Perfil estructural","PIEZA","Acero y productos metalicos"
3965,"ACER-1378","Perfil especial -525","Perfil estructural","PIEZA","Acero y productos metalicos"
3955,"ACER-1368","Perfil especial -535","Perfil estructural","PIEZA","Acero y productos metalicos"
3945,"ACER-1358","Perfil especial -545","Perfil estructural","PIEZA","Acero y productos metalicos"
4435,"ACER-1848","Perfil especial -55","Perfil estructural","PIEZA","Acero y productos metalicos"
3935,"ACER-1348","Perfil especial -555","Perfil estructural","PIEZA","Acero y productos metalicos"
3925,"ACER-1338","Perfil especial -565","Perfil estructural","PIEZA","Acero y productos metalicos"
3915,"ACER-1328","Perfil especial -575","Perfil estructural","PIEZA","Acero y productos metalicos"
3905,"ACER-1318","Perfil especial -585","Perfil estructural","PIEZA","Acero y productos metalicos"
3895,"ACER-1308","Perfil especial -595","Perfil estructural","PIEZA","Acero y productos metalicos"
3885,"ACER-1298","Perfil especial -605","Perfil estructural","PIEZA","Acero y productos metalicos"
3875,"ACER-1288","Perfil especial -615","Perfil estructural","PIEZA","Acero y productos metalicos"
3865,"ACER-1278","Perfil especial -625","Perfil estructural","PIEZA","Acero y productos metalicos"
3855,"ACER-1268","Perfil especial -635","Perfil estructural","PIEZA","Acero y productos metalicos"
3845,"ACER-1258","Perfil especial -645","Perfil estructural","PIEZA","Acero y productos metalicos"
4425,"ACER-1838","Perfil especial -65","Perfil estructural","PIEZA","Acero y productos metalicos"
3835,"ACER-1248","Perfil especial -655","Perfil estructural","PIEZA","Acero y productos metalicos"
3825,"ACER-1238","Perfil especial -665","Perfil estructural","PIEZA","Acero y productos metalicos"
3815,"ACER-1228","Perfil especial -675","Perfil estructural","PIEZA","Acero y productos metalicos"
3805,"ACER-1218","Perfil especial -685","Perfil estructural","PIEZA","Acero y productos metalicos"
3795,"ACER-1208","Perfil especial -695","Perfil estructural","PIEZA","Acero y productos metalicos"
3785,"ACER-1198","Perfil especial -705","Perfil estructural","PIEZA","Acero y productos metalicos"
3775,"ACER-1188","Perfil especial -715","Perfil estructural","PIEZA","Acero y productos metalicos"
3765,"ACER-1178","Perfil especial -725","Perfil estructural","PIEZA","Acero y productos metalicos"
3755,"ACER-1168","Perfil especial -735","Perfil estructural","PIEZA","Acero y productos metalicos"
3745,"ACER-1158","Perfil especial -745","Perfil estructural","PIEZA","Acero y productos metalicos"
4415,"ACER-1828","Perfil especial -75","Perfil estructural","PIEZA","Acero y productos metalicos"
3735,"ACER-1148","Perfil especial -755","Perfil estructural","PIEZA","Acero y productos metalicos"
3725,"ACER-1138","Perfil especial -765","Perfil estructural","PIEZA","Acero y productos metalicos"
3715,"ACER-1128","Perfil especial -775","Perfil estructural","PIEZA","Acero y productos metalicos"
3705,"ACER-1118","Perfil especial -785","Perfil estructural","PIEZA","Acero y productos metalicos"
3695,"ACER-1108","Perfil especial -795","Perfil estructural","PIEZA","Acero y productos metalicos"
3685,"ACER-1098","Perfil especial -805","Perfil estructural","PIEZA","Acero y productos metalicos"
3675,"ACER-1088","Perfil especial -815","Perfil estructural","PIEZA","Acero y productos metalicos"
3665,"ACER-1078","Perfil especial -825","Perfil estructural","PIEZA","Acero y productos metalicos"
3655,"ACER-1068","Perfil especial -835","Perfil estructural","PIEZA","Acero y productos metalicos"
3645,"ACER-1058","Perfil especial -845","Perfil estructural","PIEZA","Acero y productos metalicos"
4405,"ACER-1818","Perfil especial -85","Perfil estructural","PIEZA","Acero y productos metalicos"
3635,"ACER-1048","Perfil especial -855","Perfil estructural","PIEZA","Acero y productos metalicos"
3625,"ACER-1038","Perfil especial -865","Perfil estructural","PIEZA","Acero y productos metalicos"
3615,"ACER-1028","Perfil especial -875","Perfil estructural","PIEZA","Acero y productos metalicos"
3605,"ACER-1018","Perfil especial -885","Perfil estructural","PIEZA","Acero y productos metalicos"
3595,"ACER-1008","Perfil especial -895","Perfil estructural","PIEZA","Acero y productos metalicos"
3585,"ACER-0998","Perfil especial -905","Perfil estructural","PIEZA","Acero y productos metalicos"
3575,"ACER-0988","Perfil especial -915","Perfil estructural","PIEZA","Acero y productos metalicos"
3565,"ACER-0978","Perfil especial -925","Perfil estructural","PIEZA","Acero y productos metalicos"
3555,"ACER-0968","Perfil especial -935","Perfil estructural","PIEZA","Acero y productos metalicos"
3545,"ACER-0958","Perfil especial -945","Perfil estructural","PIEZA","Acero y productos metalicos"
4395,"ACER-1808","Perfil especial -95","Perfil estructural","PIEZA","Acero y productos metalicos"
4505,"ACER-1918","Perfil especial 15","Perfil estructural","PIEZA","Acero y productos metalicos"
4515,"ACER-1928","Perfil especial 25","Perfil estructural","PIEZA","Acero y productos metalicos"
4525,"ACER-1938","Perfil especial 35","Perfil estructural","PIEZA","Acero y productos metalicos"
4535,"ACER-1948","Perfil especial 45","Perfil estructural","PIEZA","Acero y productos metalicos"
4495,"ACER-1908","Perfil especial 5","Perfil estructural","PIEZA","Acero y productos metalicos"
4545,"ACER-1958","Perfil especial 55","Perfil estructural","PIEZA","Acero y productos metalicos"
4555,"ACER-1968","Perfil especial 65","Perfil estructural","PIEZA","Acero y productos metalicos"
4565,"ACER-1978","Perfil especial 75","Perfil estructural","PIEZA","Acero y productos metalicos"
4575,"ACER-1988","Perfil especial 85","Perfil estructural","PIEZA","Acero y productos metalicos"
4585,"ACER-1998","Perfil especial 95","Perfil estructural","PIEZA","Acero y productos metalicos"
2912,"ACER-0325","Perfil IPR 10x5.75","Viga I 10in","PIEZA","Acero y productos metalicos"
2913,"ACER-0326","Perfil IPR 12x6.5","Viga I 12in","PIEZA","Acero y productos metalicos"
2914,"ACER-0327","Perfil IPR 14x6.75","Viga I 14in","PIEZA","Acero y productos metalicos"
2915,"ACER-0328","Perfil IPR 16x7","Viga I 16in","PIEZA","Acero y productos metalicos"
2909,"ACER-0322","Perfil IPR 4x4","Viga I 4in","PIEZA","Acero y productos metalicos"
2910,"ACER-0323","Perfil IPR 6x4","Viga I 6in","PIEZA","Acero y productos metalicos"
2911,"ACER-0324","Perfil IPR 8x4","Viga I 8in","PIEZA","Acero y productos metalicos"
2966,"ACER-0379","Perno J anclaje 1/2x12","Gancho J 1/2in","PIEZA","Acero y productos metalicos"
2969,"ACER-0382","Perno J anclaje 1x30","Gancho J 1in","PIEZA","Acero y productos metalicos"
2968,"ACER-0381","Perno J anclaje 3/4x24","Gancho J 3/4in","PIEZA","Acero y productos metalicos"
2967,"ACER-0380","Perno J anclaje 5/8x18","Gancho J 5/8in","PIEZA","Acero y productos metalicos"
4710,"ACER-2123","PLACA 1 1/8""","PLACA 1 1/8""","PIEZA","Acero y productos metalicos"
4703,"ACER-2116","PLACA 1""","PLACA 1""","PIEZA","Acero y productos metalicos"
4704,"ACER-2117","PLACA 1/2""","PLACA 1/2""","PIEZA","Acero y productos metalicos"
4705,"ACER-2118","PLACA 3/4""","PLACA 3/4""","PIEZA","Acero y productos metalicos"
4711,"ACER-2124","PLACA 5/8""","PLACA 5/8""","PIEZA","Acero y productos metalicos"
2960,"ACER-0373","Placa A36 1 pulgada","Estructural 1in","KILOGRAMO","Acero y productos metalicos"
2957,"ACER-0370","Placa A36 1/2 pulgada","Estructural 1/2in","KILOGRAMO","Acero y productos metalicos"
2955,"ACER-0368","Placa A36 1/4 pulgada","Estructural 1/4in","KILOGRAMO","Acero y productos metalicos"
2959,"ACER-0372","Placa A36 3/4 pulgada","Estructural 3/4in","KILOGRAMO","Acero y productos metalicos"
2956,"ACER-0369","Placa A36 3/8 pulgada","Estructural 3/8in","KILOGRAMO","Acero y productos metalicos"
2958,"ACER-0371","Placa A36 5/8 pulgada","Estructural 5/8in","KILOGRAMO","Acero y productos metalicos"
4718,"ACER-2131","Placas conexion a momento y cortante","placas conexion a momento y cortante","PIEZA","Acero y productos metalicos"
2926,"ACER-0339","PTR 1 1/2x1 1/2 cal 11","Cuadrado 1 1/2x1 1/2in cal 11","PIEZA","Acero y productos metalicos"
2925,"ACER-0338","PTR 1 1/2x1 1/2 cal 12","Cuadrado 1 1/2x1 1/2in cal 12","PIEZA","Acero y productos metalicos"
2924,"ACER-0337","PTR 1 1/2x1 1/2 cal 14","Cuadrado 1 1/2x1 1/2in cal 14","PIEZA","Acero y productos metalicos"
2923,"ACER-0336","PTR 1x1 cal 11","Cuadrado 1x1in cal 11","PIEZA","Acero y productos metalicos"
2922,"ACER-0335","PTR 1x1 cal 12","Cuadrado 1x1in cal 12","PIEZA","Acero y productos metalicos"
2921,"ACER-0334","PTR 1x1 cal 14","Cuadrado 1x1in cal 14","PIEZA","Acero y productos metalicos"
2932,"ACER-0345","PTR 2 1/2x2 1/2 cal 11","Cuadrado 2 1/2x2 1/2in cal 11","PIEZA","Acero y productos metalicos"
2931,"ACER-0344","PTR 2 1/2x2 1/2 cal 12","Cuadrado 2 1/2x2 1/2in cal 12","PIEZA","Acero y productos metalicos"
2930,"ACER-0343","PTR 2 1/2x2 1/2 cal 14","Cuadrado 2 1/2x2 1/2in cal 14","PIEZA","Acero y productos metalicos"
2929,"ACER-0342","PTR 2x2 cal 11","Cuadrado 2x2in cal 11","PIEZA","Acero y productos metalicos"
2928,"ACER-0341","PTR 2x2 cal 12","Cuadrado 2x2in cal 12","PIEZA","Acero y productos metalicos"
2927,"ACER-0340","PTR 2x2 cal 14","Cuadrado 2x2in cal 14","PIEZA","Acero y productos metalicos"
2935,"ACER-0348","PTR 3x3 cal 11","Cuadrado 3x3in cal 11","PIEZA","Acero y productos metalicos"
2934,"ACER-0347","PTR 3x3 cal 12","Cuadrado 3x3in cal 12","PIEZA","Acero y productos metalicos"
2933,"ACER-0346","PTR 3x3 cal 14","Cuadrado 3x3in cal 14","PIEZA","Acero y productos metalicos"
4694,"ACER-2107","PTR 4"" X 4"" X 1/4""","PTR 4"" X 4"" X 1/4""","PIEZA","Acero y productos metalicos"
2938,"ACER-0351","PTR 4x4 cal 11","Cuadrado 4x4in cal 11","PIEZA","Acero y productos metalicos"
2937,"ACER-0350","PTR 4x4 cal 12","Cuadrado 4x4in cal 12","PIEZA","Acero y productos metalicos"
2936,"ACER-0349","PTR 4x4 cal 14","Cuadrado 4x4in cal 14","PIEZA","Acero y productos metalicos"
2940,"ACER-0353","PTR rectangular 3x2 cal 14","Rectangular 3x2in","PIEZA","Acero y productos metalicos"
2939,"ACER-0352","PTR rectangular 4x2 cal 14","Rectangular 4x2in","PIEZA","Acero y productos metalicos"
2941,"ACER-0354","PTR rectangular 4x3 cal 14","Rectangular 4x3in","PIEZA","Acero y productos metalicos"
2942,"ACER-0355","PTR rectangular 6x2 cal 14","Rectangular 6x2in","PIEZA","Acero y productos metalicos"
2943,"ACER-0356","PTR rectangular 6x4 cal 14","Rectangular 6x4in","PIEZA","Acero y productos metalicos"
4684,"ACER-2097","Pza armex reforzado","pza armex reforzado","PIEZA","Acero y productos metalicos"
4725,"ACER-2138","PZA VARILLA 1/2"" Y 50 KG ALAMBRE Y .48 CLAVO CONCRETO 1 1/2""","PZA VARILLA 1/2"" Y 50 KG ALAMBRE Y .48 CLAVO CONCRETO 1 1/2""","METRO_LINEAL","Acero y productos metalicos"
2977,"ACER-0390","Rondana plana 1/2","Distribucion 1/2","PIEZA","Acero y productos metalicos"
2983,"ACER-0396","Rondana plana 3/4","Distribucion 3/4","PIEZA","Acero y productos metalicos"
2980,"ACER-0393","Rondana plana 5/8","Distribucion 5/8","PIEZA","Acero y productos metalicos"
2978,"ACER-0391","Rondana presion 1/2","Seguridad 1/2","PIEZA","Acero y productos metalicos"
2984,"ACER-0397","Rondana presion 3/4","Seguridad 3/4","PIEZA","Acero y productos metalicos"
2981,"ACER-0394","Rondana presion 5/8","Seguridad 5/8","PIEZA","Acero y productos metalicos"
2951,"ACER-0364","Solera 1 1/2x3/16","Planchuela 1.5in","PIEZA","Acero y productos metalicos"
2950,"ACER-0363","Solera 1x1/8","Planchuela 1in","PIEZA","Acero y productos metalicos"
2952,"ACER-0365","Solera 2x1/4","Planchuela 2in","PIEZA","Acero y productos metalicos"
2953,"ACER-0366","Solera 3x1/4","Planchuela 3in","PIEZA","Acero y productos metalicos"
2954,"ACER-0367","Solera 4x1/4","Planchuela 4in","PIEZA","Acero y productos metalicos"
4721,"ACER-2134","Supervision nos dio la indicacion de ultimo momento de anclar las varillas al mu","Supervision nos dio la indicacion de ultimo momento de ancla...","METRO_LINEAL","Acero y productos metalicos"
2970,"ACER-0383","Tornillo A325 1/2x1 1/2","Alta resistencia 1/2in","PIEZA","Acero y productos metalicos"
2971,"ACER-0384","Tornillo A325 1/2x2","Alta resistencia 1/2in","PIEZA","Acero y productos metalicos"
2974,"ACER-0387","Tornillo A325 3/4x2 1/2","Alta resistencia 3/4in","PIEZA","Acero y productos metalicos"
