SKU,Categoria,Subcategoria,Nombre Producto,Descripcion Corta,Descripcion Larga,Unidad Medida,Presentacion Comercial,Tipo
COMB-0016,Combustibles y lubricantes,Aceite motor,Aceite 10W-40 CK-4 tambor,Motor diesel CK-4 tambor,"Motor diesel CK-4 tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0017,Combustibles y lubricantes,Aceite motor,Aceite 20W-50 CI-4 cubeta,Motor diesel CI-4,"Motor diesel CI-4. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0018,Combustibles y lubricantes,Aceite motor,Aceite 20W-50 CI-4 tambor,Motor diesel CI-4 tambor,"Motor diesel CI-4 tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0019,Combustibles y lubricantes,Aceite motor,Aceite 20W-50 CK-4 cubeta,Motor diesel CK-4,"Motor diesel CK-4. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0020,Combustibles y lubricantes,Aceite motor,Aceite 20W-50 CK-4 tambor,Motor diesel CK-4 tambor,"Motor diesel CK-4 tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0021,Combustibles y lubricantes,Aceite motor,Aceite 5W-40 CI-4 cubeta,Motor diesel CI-4,"Motor diesel CI-4. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0022,Combustibles y lubricantes,Aceite motor,Aceite 5W-40 CI-4 tambor,Motor diesel CI-4 tambor,"Motor diesel CI-4 tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0023,Combustibles y lubricantes,Aceite motor,Aceite 5W-40 CK-4 cubeta,Motor diesel CK-4,"Motor diesel CK-4. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0024,Combustibles y lubricantes,Aceite motor,Aceite 5W-40 CK-4 tambor,Motor diesel CK-4 tambor,"Motor diesel CK-4 tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0025,Combustibles y lubricantes,Aceite hidraulico,Aceite hidraulico ISO 32 cubeta,Sistemas hidraulicos ISO 32,"Sistemas hidraulicos ISO 32. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0026,Combustibles y lubricantes,Aceite hidraulico,Aceite hidraulico ISO 32 tambor,ISO 32 alto volumen,"ISO 32 alto volumen. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0027,Combustibles y lubricantes,Aceite hidraulico,Aceite hidraulico ISO 46 cubeta,Sistemas hidraulicos ISO 46,"Sistemas hidraulicos ISO 46. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0028,Combustibles y lubricantes,Aceite hidraulico,Aceite hidraulico ISO 46 tambor,ISO 46 alto volumen,"ISO 46 alto volumen. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0029,Combustibles y lubricantes,Aceite hidraulico,Aceite hidraulico ISO 68 cubeta,Sistemas hidraulicos ISO 68,"Sistemas hidraulicos ISO 68. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0030,Combustibles y lubricantes,Aceite hidraulico,Aceite hidraulico ISO 68 tambor,ISO 68 alto volumen,"ISO 68 alto volumen. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0031,Combustibles y lubricantes,Aceite hidraulico,Aceite hidraulico ISO 100 cubeta,Sistemas hidraulicos ISO 100,"Sistemas hidraulicos ISO 100. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0032,Combustibles y lubricantes,Aceite hidraulico,Aceite hidraulico ISO 100 tambor,ISO 100 alto volumen,"ISO 100 alto volumen. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0033,Combustibles y lubricantes,Aceite hidraulico,Aceite hidraulico ISO 150 cubeta,Sistemas hidraulicos ISO 150,"Sistemas hidraulicos ISO 150. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0034,Combustibles y lubricantes,Aceite hidraulico,Aceite hidraulico ISO 150 tambor,ISO 150 alto volumen,"ISO 150 alto volumen. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0035,Combustibles y lubricantes,Aceite transmision,Aceite SAE 10W TO-4 cubeta,Transmisiones powershift SAE 10W,"Transmisiones powershift SAE 10W. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0036,Combustibles y lubricantes,Aceite transmision,Aceite SAE 10W TO-4 tambor,TO-4 SAE 10W tambor,"TO-4 SAE 10W tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0037,Combustibles y lubricantes,Aceite transmision,Aceite SAE 30 TO-4 cubeta,Transmisiones powershift SAE 30,"Transmisiones powershift SAE 30. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0038,Combustibles y lubricantes,Aceite transmision,Aceite SAE 30 TO-4 tambor,TO-4 SAE 30 tambor,"TO-4 SAE 30 tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0039,Combustibles y lubricantes,Aceite transmision,Aceite SAE 50 TO-4 cubeta,Transmisiones powershift SAE 50,"Transmisiones powershift SAE 50. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0040,Combustibles y lubricantes,Aceite transmision,Aceite SAE 50 TO-4 tambor,TO-4 SAE 50 tambor,"TO-4 SAE 50 tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0041,Combustibles y lubricantes,Aceite engranajes,Aceite 75W-90 GL-5 cubeta,EP diferenciales 75W-90,"EP diferenciales 75W-90. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0042,Combustibles y lubricantes,Aceite engranajes,Aceite 75W-90 GL-5 tambor,GL-5 75W-90 tambor,"GL-5 75W-90 tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0043,Combustibles y lubricantes,Aceite engranajes,Aceite 80W-90 GL-5 cubeta,EP diferenciales 80W-90,"EP diferenciales 80W-90. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0044,Combustibles y lubricantes,Aceite engranajes,Aceite 80W-90 GL-5 tambor,GL-5 80W-90 tambor,"GL-5 80W-90 tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0045,Combustibles y lubricantes,Aceite engranajes,Aceite 85W-140 GL-5 cubeta,EP diferenciales 85W-140,"EP diferenciales 85W-140. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0046,Combustibles y lubricantes,Aceite engranajes,Aceite 85W-140 GL-5 tambor,GL-5 85W-140 tambor,"GL-5 85W-140 tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0047,Combustibles y lubricantes,Grasa,Grasa EP litio No.2 cubeta 19kg,Grasa multiusos,"Grasa multiusos. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19KG,Cubeta 19 kg,PRODUCTO
COMB-0048,Combustibles y lubricantes,Grasa,Grasa EP litio No.2 tambor 180kg,Grasa multiusos tambor,"Grasa multiusos tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_180KG,Tambor 180 kg,PRODUCTO
COMB-0049,Combustibles y lubricantes,Grasa,Grasa EP litio No.2 cartucho 400g,Grasa multiusos cartucho,"Grasa multiusos cartucho. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CARTUCHO_400G,Cartucho 400 g,PRODUCTO
COMB-0050,Combustibles y lubricantes,Grasa,Grasa complejo litio cubeta 19kg,Grasa alta temp,"Grasa alta temp. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19KG,Cubeta 19 kg,PRODUCTO
COMB-0051,Combustibles y lubricantes,Grasa,Grasa complejo litio tambor 180kg,Grasa alta temp tambor,"Grasa alta temp tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_180KG,Tambor 180 kg,PRODUCTO
COMB-0052,Combustibles y lubricantes,Grasa,Grasa complejo litio cartucho 400g,Grasa alta temp cartucho,"Grasa alta temp cartucho. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CARTUCHO_400G,Cartucho 400 g,PRODUCTO
COMB-0053,Combustibles y lubricantes,Grasa,Grasa molibdeno EP cubeta 19kg,Grasa impacto,"Grasa impacto. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19KG,Cubeta 19 kg,PRODUCTO
COMB-0054,Combustibles y lubricantes,Grasa,Grasa molibdeno EP tambor 180kg,Grasa impacto tambor,"Grasa impacto tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_180KG,Tambor 180 kg,PRODUCTO
COMB-0055,Combustibles y lubricantes,Grasa,Grasa molibdeno EP cartucho 400g,Grasa impacto cartucho,"Grasa impacto cartucho. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CARTUCHO_400G,Cartucho 400 g,PRODUCTO
COMB-0056,Combustibles y lubricantes,Grasa,Grasa grafitada cubeta 19kg,Grasa pines,"Grasa pines. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19KG,Cubeta 19 kg,PRODUCTO
COMB-0057,Combustibles y lubricantes,Grasa,Grasa grafitada tambor 180kg,Grasa pines tambor,"Grasa pines tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_180KG,Tambor 180 kg,PRODUCTO
COMB-0058,Combustibles y lubricantes,Grasa,Grasa grafitada cartucho 400g,Grasa pines cartucho,"Grasa pines cartucho. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CARTUCHO_400G,Cartucho 400 g,PRODUCTO
COMB-0059,Combustibles y lubricantes,Grasa,Grasa sintetica cubeta 19kg,Grasa alto rendimiento,"Grasa alto rendimiento. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19KG,Cubeta 19 kg,PRODUCTO
COMB-0060,Combustibles y lubricantes,Grasa,Grasa sintetica tambor 180kg,Grasa alto rendimiento tambor,"Grasa alto rendimiento tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_180KG,Tambor 180 kg,PRODUCTO
COMB-0061,Combustibles y lubricantes,Grasa,Grasa sintetica cartucho 400g,Grasa alto rendimiento cartucho,"Grasa alto rendimiento cartucho. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CARTUCHO_400G,Cartucho 400 g,PRODUCTO
COMB-0062,Combustibles y lubricantes,Grasa,Grasa calcio cubeta 19kg,Grasa humedad,"Grasa humedad. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19KG,Cubeta 19 kg,PRODUCTO
COMB-0063,Combustibles y lubricantes,Grasa,Grasa calcio tambor 180kg,Grasa humedad tambor,"Grasa humedad tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_180KG,Tambor 180 kg,PRODUCTO
COMB-0064,Combustibles y lubricantes,Grasa,Grasa calcio cartucho 400g,Grasa humedad cartucho,"Grasa humedad cartucho. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CARTUCHO_400G,Cartucho 400 g,PRODUCTO
COMB-0065,Combustibles y lubricantes,AdBlue,AdBlue DEF cubeta 20L,Solucion urea Tier 4,"Solucion urea Tier 4. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_20L,Cubeta 20 L,PRODUCTO
COMB-0066,Combustibles y lubricantes,AdBlue,AdBlue DEF tambor 200L,AdBlue tambor,"AdBlue tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0067,Combustibles y lubricantes,AdBlue,AdBlue DEF IBC 1000L,Contenedor intermedio,"Contenedor intermedio. Para construccion de obra civil, terracerias y pavimentos en Mexico.",IBC_1000L,IBC 1000 L,PRODUCTO
COMB-0068,Combustibles y lubricantes,Anticongelante,Refrigerante verde galon,Anticongelante convencional,"Anticongelante convencional. Para construccion de obra civil, terracerias y pavimentos en Mexico.",GALON_4L,Galon 4 L,PRODUCTO
COMB-0069,Combustibles y lubricantes,Anticongelante,Refrigerante verde cubeta,Refrigerante convencional cubeta,"Refrigerante convencional cubeta. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0070,Combustibles y lubricantes,Anticongelante,Refrigerante rojo ELC galon,Anticongelante vida extendida,"Anticongelante vida extendida. Para construccion de obra civil, terracerias y pavimentos en Mexico.",GALON_4L,Galon 4 L,PRODUCTO
COMB-0071,Combustibles y lubricantes,Anticongelante,Refrigerante rojo ELC cubeta,Refrigerante vida extendida cubeta,"Refrigerante vida extendida cubeta. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0072,Combustibles y lubricantes,Anticongelante,Refrigerante naranja OAT galon,Anticongelante acidos organicos,"Anticongelante acidos organicos. Para construccion de obra civil, terracerias y pavimentos en Mexico.",GALON_4L,Galon 4 L,PRODUCTO
COMB-0073,Combustibles y lubricantes,Anticongelante,Refrigerante naranja OAT cubeta,Refrigerante acidos organicos cubeta,"Refrigerante acidos organicos cubeta. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0074,Combustibles y lubricantes,Aditivos,Aditivo limpiador inyectores litro,Limpieza combustible,"Limpieza combustible. Para construccion de obra civil, terracerias y pavimentos en Mexico.",LITRO,Litro,PRODUCTO
COMB-0075,Combustibles y lubricantes,Aditivos,Aditivo antihumo litro,Reduce emisiones,"Reduce emisiones. Para construccion de obra civil, terracerias y pavimentos en Mexico.",LITRO,Litro,PRODUCTO
COMB-0076,Combustibles y lubricantes,Aditivos,Aditivo sellador radiador litro,Repara fugas,"Repara fugas. Para construccion de obra civil, terracerias y pavimentos en Mexico.",LITRO,Litro,PRODUCTO
COMB-0077,Combustibles y lubricantes,Aditivos,Aditivo estabilizador aceite litro,Reduce consumo,"Reduce consumo. Para construccion de obra civil, terracerias y pavimentos en Mexico.",LITRO,Litro,PRODUCTO
COMB-0078,Combustibles y lubricantes,Aditivos,Aditivo anticorrosivo litro,Proteccion sistema,"Proteccion sistema. Para construccion de obra civil, terracerias y pavimentos en Mexico.",LITRO,Litro,PRODUCTO
COMB-0079,Combustibles y lubricantes,Aditivos,Aditivo mejorador cetano litro,Mejora combustion,"Mejora combustion. Para construccion de obra civil, terracerias y pavimentos en Mexico.",LITRO,Litro,PRODUCTO
COMB-0080,Combustibles y lubricantes,Filtros,Filtro aceite motor CAT,Filtro aceite motor maquinaria CAT,"Filtro aceite motor maquinaria CAT. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0081,Combustibles y lubricantes,Filtros,Filtro hidraulico retorno CAT,Filtro hidraulico retorno maquinaria CAT,"Filtro hidraulico retorno maquinaria CAT. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0082,Combustibles y lubricantes,Filtros,Filtro hidraulico piloto CAT,Filtro hidraulico piloto maquinaria CAT,"Filtro hidraulico piloto maquinaria CAT. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0083,Combustibles y lubricantes,Filtros,Filtro combustible primario CAT,Filtro combustible primario maquinaria CAT,"Filtro combustible primario maquinaria CAT. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0084,Combustibles y lubricantes,Filtros,Filtro aceite motor Komatsu,Filtro aceite motor maquinaria Komatsu,"Filtro aceite motor maquinaria Komatsu. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0085,Combustibles y lubricantes,Filtros,Filtro hidraulico retorno Komatsu,Filtro hidraulico retorno maquinaria Komatsu,"Filtro hidraulico retorno maquinaria Komatsu. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0086,Combustibles y lubricantes,Filtros,Filtro hidraulico piloto Komatsu,Filtro hidraulico piloto maquinaria Komatsu,"Filtro hidraulico piloto maquinaria Komatsu. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0087,Combustibles y lubricantes,Filtros,Filtro combustible primario Komatsu,Filtro combustible primario maquinaria Komatsu,"Filtro combustible primario maquinaria Komatsu. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0088,Combustibles y lubricantes,Filtros,Filtro aceite motor John Deere,Filtro aceite motor maquinaria John Deere,"Filtro aceite motor maquinaria John Deere. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0089,Combustibles y lubricantes,Filtros,Filtro hidraulico retorno John Deere,Filtro hidraulico retorno maquinaria John Deere,"Filtro hidraulico retorno maquinaria John Deere. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0090,Combustibles y lubricantes,Filtros,Filtro hidraulico piloto John Deere,Filtro hidraulico piloto maquinaria John Deere,"Filtro hidraulico piloto maquinaria John Deere. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0091,Combustibles y lubricantes,Filtros,Filtro combustible primario John Deere,Filtro combustible primario maquinaria John Deere,"Filtro combustible primario maquinaria John Deere. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0092,Combustibles y lubricantes,Filtros,Filtro aceite motor Case,Filtro aceite motor maquinaria Case,"Filtro aceite motor maquinaria Case. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0093,Combustibles y lubricantes,Filtros,Filtro hidraulico retorno Case,Filtro hidraulico retorno maquinaria Case,"Filtro hidraulico retorno maquinaria Case. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0094,Combustibles y lubricantes,Filtros,Filtro hidraulico piloto Case,Filtro hidraulico piloto maquinaria Case,"Filtro hidraulico piloto maquinaria Case. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0095,Combustibles y lubricantes,Filtros,Filtro combustible primario Case,Filtro combustible primario maquinaria Case,"Filtro combustible primario maquinaria Case. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0096,Combustibles y lubricantes,Filtros,Filtro aceite motor Volvo,Filtro aceite motor maquinaria Volvo,"Filtro aceite motor maquinaria Volvo. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0097,Combustibles y lubricantes,Filtros,Filtro hidraulico retorno Volvo,Filtro hidraulico retorno maquinaria Volvo,"Filtro hidraulico retorno maquinaria Volvo. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0098,Combustibles y lubricantes,Filtros,Filtro hidraulico piloto Volvo,Filtro hidraulico piloto maquinaria Volvo,"Filtro hidraulico piloto maquinaria Volvo. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0099,Combustibles y lubricantes,Filtros,Filtro combustible primario Volvo,Filtro combustible primario maquinaria Volvo,"Filtro combustible primario maquinaria Volvo. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0100,Combustibles y lubricantes,Filtros,Filtro aceite motor Hitachi,Filtro aceite motor maquinaria Hitachi,"Filtro aceite motor maquinaria Hitachi. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0101,Combustibles y lubricantes,Filtros,Filtro hidraulico retorno Hitachi,Filtro hidraulico retorno maquinaria Hitachi,"Filtro hidraulico retorno maquinaria Hitachi. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0102,Combustibles y lubricantes,Filtros,Filtro hidraulico piloto Hitachi,Filtro hidraulico piloto maquinaria Hitachi,"Filtro hidraulico piloto maquinaria Hitachi. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0103,Combustibles y lubricantes,Filtros,Filtro combustible primario Hitachi,Filtro combustible primario maquinaria Hitachi,"Filtro combustible primario maquinaria Hitachi. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0104,Combustibles y lubricantes,Filtros,Filtro aceite motor Kobelco,Filtro aceite motor maquinaria Kobelco,"Filtro aceite motor maquinaria Kobelco. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0105,Combustibles y lubricantes,Filtros,Filtro hidraulico retorno Kobelco,Filtro hidraulico retorno maquinaria Kobelco,"Filtro hidraulico retorno maquinaria Kobelco. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0106,Combustibles y lubricantes,Filtros,Filtro hidraulico piloto Kobelco,Filtro hidraulico piloto maquinaria Kobelco,"Filtro hidraulico piloto maquinaria Kobelco. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0107,Combustibles y lubricantes,Filtros,Filtro combustible primario Kobelco,Filtro combustible primario maquinaria Kobelco,"Filtro combustible primario maquinaria Kobelco. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0108,Combustibles y lubricantes,Filtros,Filtro aceite motor JCB,Filtro aceite motor maquinaria JCB,"Filtro aceite motor maquinaria JCB. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0109,Combustibles y lubricantes,Filtros,Filtro hidraulico retorno JCB,Filtro hidraulico retorno maquinaria JCB,"Filtro hidraulico retorno maquinaria JCB. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
COMB-0110,Combustibles y lubricantes,Filtros,Filtro hidraulico piloto JCB,Filtro hidraulico piloto maquinaria JCB,"Filtro hidraulico piloto maquinaria JCB. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
